id_punta,id_rama,id_padre,id_rama_padre,generacion,x,y,theta,activa,edad,paso_creacion,paso_terminacion
0,0,,,0,22.411575163315167,75.13349172100452,0.8891943018308984,False,23,0,24
1,1,0,0,1,26.223666395821084,78.13673128954922,0.41798476196391726,False,6,22,29
2,2,0,0,1,24.05976753031398,80.8300361273859,0.9023313050106847,False,6,23,30
3,3,1,1,2,35.245577715919005,77.66005386210603,-0.09667864177634108,False,11,26,38
4,4,2,2,2,27.18960120063279,82.65840267807516,1.1196559269699495,False,6,26,33
5,5,4,4,3,26.32316631318538,89.99385371942547,1.844294816422733,False,10,29,40
6,6,3,3,3,38.4713668572836,73.67772418942832,-0.9278184317195817,False,6,36,43
7,7,6,6,4,37.97296002583421,72.00483890069836,-1.3964128689441593,False,6,37,44
8,8,5,5,4,4.072664216452103,108.06112491246536,3.167740859520465,False,30,38,69
9,9,6,6,4,31.24060729363931,44.33642464792258,-2.201248721455109,False,33,39,73
10,10,9,9,5,52.11735813609096,35.074283313384825,-1.9126277431636338,False,45,41,87
11,11,6,6,4,43.6906581921994,70.79974779250777,-0.733255739255877,False,6,42,49
12,12,11,11,5,46.232044877118504,67.89659618886559,-0.6283482152681286,False,6,46,53
13,13,12,12,6,46.52314579588467,64.37680871441663,-0.847502830109149,False,6,49,56
14,14,13,13,7,49.05438537468509,64.1208576854746,-0.4230619351381673,False,6,51,58
15,15,14,14,8,55.818863476810634,63.24415098086537,-0.6421278029876832,False,8,56,65
16,16,15,15,9,55.945989215999084,57.95845808252778,-1.75021391805807,False,6,63,70
17,17,16,16,10,57.40806866842413,56.29628492261586,-1.804019059539196,False,6,65,72
18,18,8,8,5,0.8138704542528351,111.97603105636051,2.1514560227247155,False,6,67,74
19,19,17,17,11,60.634616604570596,55.97579055343637,-1.3004132946682843,False,6,67,74
20,20,9,9,5,14.678494998752264,37.542796496318225,-2.3778215434907173,False,19,71,91
21,21,17,17,11,59.212004167967265,50.71928218354368,-1.679811258798471,False,6,71,78
22,22,18,18,6,0.47887825311897125,111.58140538865679,2.7592327771751686,False,1,72,74
23,23,19,19,12,74.45316482435287,54.24772925978285,-0.854094329862504,False,15,72,88
24,24,21,21,12,58.95931324019614,46.01753615975934,-1.7279399714797854,False,6,76,83
25,25,21,21,12,55.89417006889469,43.55422419738513,-2.4928872567558344,False,8,77,86
26,26,25,25,13,46.08384868957354,38.73416825031684,-2.599888908448836,False,12,84,97
27,27,10,10,6,47.05589439965326,16.20695360638689,-2.4666300447540395,False,22,85,108
28,28,23,23,13,79.24083618918776,53.28672470088529,-0.5915916205215765,False,6,86,93
29,29,20,20,6,13.207947044795196,32.63761459069736,-1.718270959213258,False,6,89,96
30,30,28,28,14,86.73006028543134,41.64628812394879,-1.256263516863045,False,15,91,107
31,31,29,29,7,16.470477016918025,29.343062984791956,-1.154554799523317,False,6,93,100
32,32,29,29,7,9.106199613886295,29.479883895298713,-2.5275022067025437,False,6,94,101
33,33,31,31,8,23.6138430540392,28.808097408078137,-0.37287279053429434,False,11,94,106
34,34,26,26,14,47.11237576292654,30.117270386852887,-1.2031432798244506,False,10,95,106
35,35,31,31,8,12.588817293733747,23.121189589204548,-2.268546350545006,False,10,95,106
36,36,32,32,8,0.39550440204378,33.90896447674643,-3.5462134318398184,False,13,95,109
37,37,33,33,9,35.218919258887524,19.747238426572316,-0.8504132909802209,False,16,104,121
38,38,34,34,15,49.052842107576694,25.762500838880754,-1.6257400585746042,False,6,104,111
39,39,35,35,9,12.806841330614127,18.069784112920324,-1.5401996409803496,False,6,104,111
40,40,30,30,15,95.71925170430178,31.51987303486116,-0.7241314885198591,False,15,105,121
41,41,27,27,7,39.76461805295439,19.790755804450654,-3.4981418559658,False,9,106,116
42,42,39,39,10,16.46676507201892,17.361290271919827,-1.135081987956588,False,6,106,113
43,43,42,42,11,16.795100045040677,13.2133314508119,-0.9533568055108952,False,6,110,117
44,44,43,43,12,23.630158966377884,3.3604156615989162,-1.3064738062587882,False,16,112,129
45,45,41,41,8,36.1467236251647,23.101245468367352,-4.280477700556901,False,6,114,121
46,46,41,41,8,35.834661203343025,24.302664432910337,-3.79788097260796,False,6,115,122
47,47,45,45,9,40.02932200380923,26.13370038202109,-4.815429952533767,False,6,115,122
48,48,47,47,10,38.72165166476632,27.79332808627993,-4.859817949108607,False,6,117,124
49,49,37,37,10,40.3832382692709,19.217725442204177,0.34736113308534405,False,6,119,126
50,50,40,40,16,106.24216096063779,28.584536229076797,-0.8874880325880231,False,12,119,132
51,51,45,45,9,30.972777600583278,22.36811667684283,-2.6653252578769964,False,6,119,126
52,52,51,51,10,29.22207251311671,24.332444503574425,-3.305712928399746,False,6,121,128
53,53,52,52,11,27.503127864565514,27.477382435304154,-3.532513514780941,False,6,124,131
54,54,44,44,13,22.13774055576029,0.4492870848897358,-1.7490286511994304,False,4,127,132
55,55,50,50,17,113.22984210590718,29.416630599182497,-0.2585892358489005,False,8,130,139
56,56,53,53,12,21.548568155852987,27.0991135196484,-2.913300426342182,False,6,130,137
57,57,54,54,14,22.65170410206913,0.38771870423244237,-1.1283712343469747,False,1,130,132
58,58,57,57,15,22.65170410206913,0.38771870423244237,-1.775206418530346,False,0,131,132
59,59,56,56,13,17.583623752097846,27.932605540619164,-3.041492434621597,False,6,134,141
60,60,55,55,18,116.76450839513964,25.449167977107294,-1.3849730552955168,False,6,137,144
61,61,59,59,14,14.883521680148801,25.96827123319957,-3.1614015533406388,False,6,137,144
62,62,61,61,15,12.952437064775594,28.584955135994772,-3.6272492172239743,False,6,139,146
63,63,60,60,19,120.23756430869012,25.39471130763217,-0.3819733367142229,False,6,140,147
64,64,63,63,20,133.0312261812114,33.566328853113994,1.2285361754553357,False,19,141,161
65,65,62,62,16,8.986980427253352,26.357187782556142,-2.832657934367616,False,6,143,150
66,66,65,65,17,7.980910226843881,27.43346022474652,-2.4828263860854833,False,6,144,151
67,67,63,63,20,124.1730189134555,20.717383220792843,-1.078780697448361,False,7,145,153
68,68,67,67,21,125.65887008821429,26.409215501862793,0.2942613704877362,False,6,146,153
69,69,65,65,17,4.123759132629343,27.691408485092726,-3.4346183970594137,False,6,148,155
70,70,69,69,18,4.003193151437464,22.255854077815748,-2.348602806994204,False,6,150,157
71,71,67,67,21,134.55984227155437,13.85238183677994,-1.3354418807171244,False,14,151,166
72,72,68,68,22,127.49248232245378,31.200115472730005,1.3570978336584152,False,6,151,158
73,73,68,68,22,129.83492354001993,30.61068253331018,1.1602069787470657,False,6,152,159
74,74,69,69,18,0.009861792851178275,26.70284202833299,-2.715218734126496,False,6,152,159
75,75,72,72,23,131.3205992336185,29.880589496932547,0.13548285809575422,False,6,153,160
76,76,74,74,19,0.7472899617319958,24.483322847964512,-2.407266162995575,False,4,154,159
77,77,70,70,19,2.8998183704440352,17.500641966747192,-2.150019752595479,False,6,155,162
78,78,73,73,23,130.62131267733005,37.373492195562754,0.954181027581496,False,8,157,166
79,79,77,77,20,1.522893711480373,16.05539106931743,-1.7672901849074685,False,6,157,164
80,80,64,64,21,139.0419050331973,34.826778944098855,0.02986147517743365,False,7,159,167
81,81,71,71,22,133.80455589205596,8.879175283758329,-1.515294063816703,False,6,164,171
82,82,78,78,24,135.5353804721645,38.651522146480566,1.0962175472595155,False,6,164,171
83,83,80,80,22,141.66875059798258,39.17852398688546,0.8685779101917959,False,6,165,172
84,84,80,80,22,144.7677780484171,33.08511428499099,-0.45609968475945883,False,6,166,173
85,85,83,83,23,140.0979102379899,40.91868724639191,1.1953613175784708,False,6,166,173
86,86,81,81,23,137.85106428148242,6.257365649940969,-1.3376918475210273,False,7,167,175
87,87,82,82,25,138.67806459645263,37.16831501360294,0.299598322356341,False,6,167,174
88,88,84,84,23,150.09031198247115,37.56824332125039,0.3373626081263845,False,10,168,179
89,89,87,87,26,142.5522189254774,40.39676677852328,1.1159255236479164,False,6,172,179
